Index,HIP,Vmag,X,Y,Tipo,Name
275,35037,4.01,301.68869965764793,161.02147706007287,Científica,* ome CMa
276,34088,4.01,277.8774825032905,396.5788711408465,Científica,* zet Gem
277,59199,4.02,853.5551592398069,194.70799507243711,Científica,* alf Crv
278,43409,4.02,483.8700659571792,160.4614901199626,Científica,* gam Pyx
279,23522,4.03,352.8561360657604,616.9551794168323,Científica,* bet Cam
280,43103,4.03,460.9406443362873,411.8183108228318,Científica,* iot Cnc
281,63003,4.03,909.3567079055788,54.12834918148757,Científica,* mu.01 Cru
282,57380,4.04,783.9649342738325,324.91046489845826,Científica,* nu. Vir
283,70497,4.04,880.2869429040553,561.306037187114,Científica,* tet Boo
284,14632,4.05,230.94272437645245,664.3973582350818,Científica,* iot Per
285,42884,4.05,506.8503241502975,94.12974770294753,Científica,* d Vel
286,55434,4.05,738.6219138312402,318.4959080505273,Científica,* sig Leo
287,67459,4.05,985.4104744053376,400.7298110476072,Científica,* ups Boo
288,71536,4.05,1083.8043227104697,94.29953114072649,Científica,* rho Lup
289,70090,4.05,1087.4188943929848,153.4165126548707,Científica,* psi Cen
290,60009,4.06,847.7761566143953,22.154692408605072,Científica,* zet Cru
291,36962,4.06,343.59769942501697,416.83727217546186,Científica,* ups Gem
292,22957,4.06,47.76854164217138,420.925102037834,Científica,* omi02 Ori
293,55705,4.06,766.6526183290707,218.30082854551128,Científica,* gam Crt
294,72010,4.06,1132.7064274899717,170.65008952532253,Científica,* c01 Cen
295,69701,4.07,1080.396124589989,311.5253515744537,Científica,* iot Vir
296,74117,4.07,1147.4036133928016,117.40177968345267,Científica,* lam Lup
297,33160,4.08,236.33420995269717,236.7317444970512,Científica,* tet CMa
298,53740,4.08,718.991031711868,212.28423188052852,Científica,* alf Crt
299,46974,4.08,632.5353761546226,29.70837572275038,Científica,* h Car
300,77450,4.09,1161.3665822172588,474.4453113920306,Científica,* kap Ser
301,26366,4.09,102.4783534901922,374.1688198821672,Científica,* phi02 Ori
302,38164,4.1,429.4392341305405,70.68190394495649,Científica,* P Pup
303,42312,4.11,496.4609733630568,91.8732024017616,Científica,* e Vel
304,57439,4.11,811.0471522639374,33.26928042519075,Científica,HD 102350
305,48356,4.11,584.3693925675794,220.21048469063984,Científica,* ups01 Hya
306,34045,4.11,259.0688073644105,217.3633009879361,Científica,* gam CMa
307,19812,4.12,231.15153635526613,610.3754830764793,Científica,* mu. Per
308,28614,4.12,148.13990356575093,364.638881498686,Científica,* mu. Ori
309,58948,4.12,816.6958076629907,338.25639512719016,Científica,* omi Vir
310,77853,4.13,1273.8296667517673,292.57362094314755,Científica,* tet Lib
311,30883,4.13,218.81191515446983,407.4363791748576,Científica,* nu. Gem
312,25247,4.13,57.65456589805227,279.97585310595355,Científica,* e Ori
313,42313,4.14,431.40179620208954,310.0117287337964,Científica,* del Hya
314,78159,4.14,1124.7709601024192,518.9331695545825,Científica,* eps CrB
315,59072,4.14,832.7865274682097,19.081701573716416,Científica,* eta Cru
316,76127,4.14,1069.5857968412429,520.7235341507176,Científica,* tet CrB
317,85112,4.15,1119.0846302827338,626.1965737515197,Científica,* rho Her
318,34769,4.15,266.8995645221355,292.182895531879,Científica,* del Mon
319,28734,4.16,188.9410434819021,433.3931263126793,Científica,*   1 Gem
320,36366,4.16,344.4949265050138,440.93918413163766,Científica,* rho Gem
321,69427,4.18,1080.1281621836367,289.89469963312456,Científica,* kap Vir
322,69732,4.18,902.9934761951916,536.5276616755094,Científica,* lam Boo
323,67457,4.19,1037.3965269886758,166.4309470191245,Científica,* g Cen
324,81126,4.2,1047.6064863605086,602.6855486987503,Científica,* sig Her
325,38835,4.2,373.36786876786886,180.32144156873537,Científica,* j Pup
326,25813,4.2,84.28363897391527,358.4373177839657,Científica,*  32 Ori
327,51233,4.2,623.0654710392821,442.89298610913534,Científica,* bet LMi
328,82080,4.21,692.5836885348556,672.2153960091015,Científica,* eps UMi
329,16228,4.21,330.55720100663683,666.8162038555334,Científica,HD  21291
330,20635,4.21,46.479802489996274,492.3126588115248,Científica,* kap01 Tau
331,89908,4.22,785.0311775198751,699.7188865441749,Científica,* phi Dra
332,38518,4.22,443.36838227223126,63.45268676666672,Científica,* J Pup
333,68520,4.23,1040.902214914916,341.6179744746167,Científica,* tau Vir
334,37629,4.23,359.55625544872265,423.99652903560855,Científica,* sig Gem
335,79101,4.23,1011.2602705584126,593.093532184342,Científica,* phi Her
336,64394,4.23,890.4403102808413,438.11356830160105,Científica,* bet Com
337,67153,4.23,1031.9775301356244,172.70952623825508,Científica,* i Cen
338,61317,4.24,796.9226931906359,482.178458262841,Científica,* bet CVn
339,5372,4.24,593.9912603078442,682.4527005947043,Científica,*   2 UMi
340,70692,4.25,726.8046634599541,636.8624642962172,Científica,*   5 UMi
341,19167,4.25,245.0433771647047,622.0302229239544,Científica,* lam Per
342,41075,4.25,448.8004529819341,478.87158046864056,Científica,*  31 Lyn
343,23972,4.25,29.045923238497345,279.04351390908244,Científica,* lam Eri
344,62896,4.25,933.2913962007124,132.1734549734489,Científica,* n Cen
345,21476,4.25,185.9120319227092,569.5525751832697,Científica,*  58 Per
346,44066,4.26,471.09014443354806,336.0168173731257,Científica,* alf Cnc
347,22783,4.26,399.9150651961734,636.1924024439643,Científica,* alf Cam
348,21881,4.27,71.30257368710564,482.301367218771,Científica,* tau Tau
349,64004,4.27,942.6755579245662,88.38874265074526,Científica,* ksi02 Cen
350,21589,4.27,15.377602768315032,427.772365689181,Científica,* c Tau
351,51172,4.28,668.6649098943373,154.3998809393577,Científica,* alf Ant
352,20711,4.28,50.67334635106842,494.2505133732843,Científica,* ups Tau
353,47193,4.28,598.5571191456792,634.0957366865086,Científica,HD  81817
354,24845,4.29,52.16820888501723,247.93319424036412,Científica,* lam Lep
355,52154,4.29,716.3247562873249,51.930016493576815,Científica,* x Vel
356,77055,4.29,727.8380929986939,657.5058545676097,Científica,* zet UMi
357,57936,4.29,827.5508562555561,152.55672994918217,Científica,* bet Hya
358,61174,4.3,894.0713174861595,236.33953442341743,Científica,* eta Crv
359,42799,4.3,441.9693586051453,299.2960993571419,Científica,* eta Hya
360,56647,4.3,775.2829794112399,292.0282916815008,Científica,* ups Leo
361,20648,4.3,22.340920493480724,468.5798985596543,Científica,* del03 Tau
362,28404,4.3,289.74729681478743,537.8636455840548,Científica,* pi. Aur
